row,area,notes,country_code,iso3,location_type_code,subregion_code,subregion_name,region_code,region_name,more_developed,less_developed,least_developed,less_not_least_developed,high_income,middle_income,upper_middle_income,lower_middle_income,low_income,sub_saharan_africa,wpp_explicit_hiv_model,population_lt_90k,income_level
227,Bolivia (Plurinational State of),NA,68,BOL,4,931,South America,904,Latin America and the Caribbean,No,Yes,No,Yes,No,Yes,No,Yes,No,No,No,No,middle
228,Brazil,NA,76,BRA,4,931,South America,904,Latin America and the Caribbean,No,Yes,No,Yes,No,Yes,Yes,No,No,No,No,No,middle
229,Chile,NA,152,CHL,4,931,South America,904,Latin America and the Caribbean,No,Yes,No,Yes,Yes,No,No,No,No,No,No,No,high
230,Colombia,NA,170,COL,4,931,South America,904,Latin America and the Caribbean,No,Yes,No,Yes,No,Yes,Yes,No,No,No,No,No,middle
231,Ecuador,NA,218,ECU,4,931,South America,904,Latin America and the Caribbean,No,Yes,No,Yes,No,Yes,Yes,No,No,No,No,No,middle
232,Falkland Islands (Malvinas),24,238,FLK,4,931,South America,904,Latin America and the Caribbean,No,Yes,No,Yes,Not available,Not available,Not available,Not available,Not available,No,No,Yes,
233,French Guiana,NA,254,GUF,4,931,South America,904,Latin America and the Caribbean,No,Yes,No,Yes,Not available,Not available,Not available,Not available,Not available,No,No,No,
234,Guyana,NA,328,GUY,4,931,South America,904,Latin America and the Caribbean,No,Yes,No,Yes,No,Yes,Yes,No,No,No,No,No,middle
235,Paraguay,NA,600,PRY,4,931,South America,904,Latin America and the Caribbean,No,Yes,No,Yes,No,Yes,Yes,No,No,No,No,No,middle
236,Peru,NA,604,PER,4,931,South America,904,Latin America and the Caribbean,No,Yes,No,Yes,No,Yes,Yes,No,No,No,No,No,middle
237,Suriname,NA,740,SUR,4,931,South America,904,Latin America and the Caribbean,No,Yes,No,Yes,No,Yes,Yes,No,No,No,No,No,middle
238,Uruguay,NA,858,URY,4,931,South America,904,Latin America and the Caribbean,No,Yes,No,Yes,Yes,No,No,No,No,No,No,No,high
239,Venezuela (Bolivarian Republic of),NA,862,VEN,4,931,South America,904,Latin America and the Caribbean,No,Yes,No,Yes,No,Yes,Yes,No,No,No,No,No,middle
241,Bermuda,NA,60,BMU,4,NA,NA,905,Northern America,Yes,No,No,No,Yes,No,No,No,No,No,No,Yes,high
242,Canada,NA,124,CAN,4,NA,NA,905,Northern America,Yes,No,No,No,Yes,No,No,No,No,No,No,No,high
243,Greenland,NA,304,GRL,4,NA,NA,905,Northern America,Yes,No,No,No,Yes,No,No,No,No,No,No,Yes,high
244,Saint Pierre and Miquelon,NA,666,SPM,4,NA,NA,905,Northern America,Yes,No,No,No,Not available,Not available,Not available,Not available,Not available,No,No,Yes,
245,United States of America,NA,840,USA,4,NA,NA,905,Northern America,Yes,No,No,No,Yes,No,No,No,No,No,No,No,high
248,Australia,25,36,AUS,4,927,Australia/New Zealand,909,Oceania,Yes,No,No,No,Yes,No,No,No,No,No,No,No,high
249,New Zealand,NA,554,NZL,4,927,Australia/New Zealand,909,Oceania,Yes,No,No,No,Yes,No,No,No,No,No,No,No,high
251,Fiji,NA,242,FJI,4,928,Melanesia,909,Oceania,No,Yes,No,Yes,No,Yes,Yes,No,No,No,No,No,middle
252,New Caledonia,NA,540,NCL,4,928,Melanesia,909,Oceania,No,Yes,No,Yes,Yes,No,No,No,No,No,No,No,high
253,Papua New Guinea,NA,598,PNG,4,928,Melanesia,909,Oceania,No,Yes,No,Yes,No,Yes,No,Yes,No,No,No,No,middle
254,Solomon Islands,NA,90,SLB,4,928,Melanesia,909,Oceania,No,Yes,Yes,No,No,Yes,No,Yes,No,No,No,No,middle
255,Vanuatu,NA,548,VUT,4,928,Melanesia,909,Oceania,No,Yes,Yes,No,No,Yes,No,Yes,No,No,No,No,middle
257,Guam,NA,316,GUM,4,954,Micronesia,909,Oceania,No,Yes,No,Yes,Yes,No,No,No,No,No,No,No,high
258,Kiribati,NA,296,KIR,4,954,Micronesia,909,Oceania,No,Yes,Yes,No,No,Yes,No,Yes,No,No,No,No,middle
259,Marshall Islands,NA,584,MHL,4,954,Micronesia,909,Oceania,No,Yes,No,Yes,No,Yes,Yes,No,No,No,No,Yes,middle
260,Micronesia (Fed. States of),NA,583,FSM,4,954,Micronesia,909,Oceania,No,Yes,No,Yes,No,Yes,No,Yes,No,No,No,No,middle
261,Nauru,NA,520,NRU,4,954,Micronesia,909,Oceania,No,Yes,No,Yes,No,Yes,Yes,No,No,No,No,Yes,middle
262,Northern Mariana Islands,NA,580,MNP,4,954,Micronesia,909,Oceania,No,Yes,No,Yes,Yes,No,No,No,No,No,No,Yes,high
263,Palau,NA,585,PLW,4,954,Micronesia,909,Oceania,No,Yes,No,Yes,Yes,No,No,No,No,No,No,Yes,high
265,American Samoa,NA,16,ASM,4,957,Polynesia,909,Oceania,No,Yes,No,Yes,No,Yes,Yes,No,No,No,No,Yes,middle
266,Cook Islands,NA,184,COK,4,957,Polynesia,909,Oceania,No,Yes,No,Yes,Not available,Not available,Not available,Not available,Not available,No,No,Yes,
267,French Polynesia,NA,258,PYF,4,957,Polynesia,909,Oceania,No,Yes,No,Yes,Yes,No,No,No,No,No,No,No,high
268,Niue,NA,570,NIU,4,957,Polynesia,909,Oceania,No,Yes,No,Yes,Not available,Not available,Not available,Not available,Not available,No,No,Yes,
269,Samoa,NA,882,WSM,4,957,Polynesia,909,Oceania,No,Yes,No,Yes,No,Yes,Yes,No,No,No,No,No,middle
270,Tokelau,NA,772,TKL,4,957,Polynesia,909,Oceania,No,Yes,No,Yes,Not available,Not available,Not available,Not available,Not available,No,No,Yes,
271,Tonga,NA,776,TON,4,957,Polynesia,909,Oceania,No,Yes,No,Yes,No,Yes,Yes,No,No,No,No,No,middle
272,Tuvalu,NA,798,TUV,4,957,Polynesia,909,Oceania,No,Yes,Yes,No,No,Yes,Yes,No,No,No,No,Yes,middle
273,Wallis and Futuna Islands,NA,876,WLF,4,957,Polynesia,909,Oceania,No,Yes,No,Yes,Not available,Not available,Not available,Not available,Not available,No,No,Yes,
