row,area,notes,country_code,iso3,location_type_code,subregion_code,subregion_name,region_code,region_name,more_developed,less_developed,least_developed,less_not_least_developed,high_income,middle_income,upper_middle_income,lower_middle_income,low_income,sub_saharan_africa,wpp_explicit_hiv_model,population_lt_90k,income_level
62,Cabo Verde,NA,132,CPV,4,914,Western Africa,903,Africa,No,Yes,No,Yes,No,Yes,No,Yes,No,Yes,No,No,middle
63,Côte d'Ivoire,NA,384,CIV,4,914,Western Africa,903,Africa,No,Yes,No,Yes,No,Yes,No,Yes,No,Yes,No,No,middle
64,Gambia,NA,270,GMB,4,914,Western Africa,903,Africa,No,Yes,Yes,No,No,No,No,No,Yes,Yes,No,No,low
65,Ghana,NA,288,GHA,4,914,Western Africa,903,Africa,No,Yes,No,Yes,No,Yes,No,Yes,No,Yes,No,No,middle
66,Guinea,NA,324,GIN,4,914,Western Africa,903,Africa,No,Yes,Yes,No,No,No,No,No,Yes,Yes,No,No,low
67,Guinea-Bissau,NA,624,GNB,4,914,Western Africa,903,Africa,No,Yes,Yes,No,No,No,No,No,Yes,Yes,No,No,low
68,Liberia,NA,430,LBR,4,914,Western Africa,903,Africa,No,Yes,Yes,No,No,No,No,No,Yes,Yes,No,No,low
69,Mali,NA,466,MLI,4,914,Western Africa,903,Africa,No,Yes,Yes,No,No,No,No,No,Yes,Yes,No,No,low
70,Mauritania,NA,478,MRT,4,914,Western Africa,903,Africa,No,Yes,Yes,No,No,Yes,No,Yes,No,Yes,No,No,middle
71,Niger,NA,562,NER,4,914,Western Africa,903,Africa,No,Yes,Yes,No,No,No,No,No,Yes,Yes,No,No,low
72,Nigeria,NA,566,NGA,4,914,Western Africa,903,Africa,No,Yes,No,Yes,No,Yes,No,Yes,No,Yes,No,No,middle
73,Saint Helena,3,654,SHN,4,914,Western Africa,903,Africa,No,Yes,No,Yes,Not available,Not available,Not available,Not available,Not available,Yes,No,Yes,
74,Senegal,NA,686,SEN,4,914,Western Africa,903,Africa,No,Yes,Yes,No,No,No,No,No,Yes,Yes,No,No,low
75,Sierra Leone,NA,694,SLE,4,914,Western Africa,903,Africa,No,Yes,Yes,No,No,No,No,No,Yes,Yes,No,No,low
76,Togo,NA,768,TGO,4,914,Western Africa,903,Africa,No,Yes,Yes,No,No,No,No,No,Yes,Yes,No,No,low
79,China,4,156,CHN,4,906,Eastern Asia,935,Asia,No,Yes,No,Yes,No,Yes,Yes,No,No,No,No,No,middle
80,"China, Hong Kong SAR",5,344,HKG,4,906,Eastern Asia,935,Asia,No,Yes,No,Yes,Yes,No,No,No,No,No,No,No,high
81,"China, Macao SAR",6,446,MAC,4,906,Eastern Asia,935,Asia,No,Yes,No,Yes,Yes,No,No,No,No,No,No,No,high
82,"China, Taiwan Province of China",NA,158,TWN,4,906,Eastern Asia,935,Asia,No,Yes,No,Yes,Yes,No,No,No,No,No,No,No,high
83,Dem. People's Republic of Korea,NA,408,PRK,4,906,Eastern Asia,935,Asia,No,Yes,No,Yes,No,No,No,No,Yes,No,No,No,low
84,Japan,NA,392,JPN,4,906,Eastern Asia,935,Asia,Yes,No,No,No,Yes,No,No,No,No,No,No,No,high
85,Mongolia,NA,496,MNG,4,906,Eastern Asia,935,Asia,No,Yes,No,Yes,No,Yes,No,Yes,No,No,No,No,middle
86,Republic of Korea,NA,410,KOR,4,906,Eastern Asia,935,Asia,No,Yes,No,Yes,Yes,No,No,No,No,No,No,No,high
89,Kazakhstan,NA,398,KAZ,4,5500,Central Asia,935,Asia,No,Yes,No,Yes,No,Yes,Yes,No,No,No,No,No,middle
90,Kyrgyzstan,NA,417,KGZ,4,5500,Central Asia,935,Asia,No,Yes,No,Yes,No,Yes,No,Yes,No,No,No,No,middle
91,Tajikistan,NA,762,TJK,4,5500,Central Asia,935,Asia,No,Yes,No,Yes,No,Yes,No,Yes,No,No,No,No,middle
