state,age,total_pop,total_citizen_pop,total_registered,pct_total_registered,pct_total_registered_moe,pct_citizen_registered,pct_citizen_registered_moe,total_voted,pct_total_voted,pct_total_voted_moe,pct_citizen_voted,pct_citizen_voted_moe
US,Total,245502,224059,157596,64.2,0.3,70.3,0.3,137537,56,0.3,61.4,0.3
US,18 to 24,29320,26913,14905,50.8,0.9,55.4,0.9,11560,39.4,0.9,43,0.9
US,25 to 34,43794,38283,24682,56.4,0.7,64.5,0.8,20332,46.4,0.7,53.1,0.8
US,35 to 44,39905,34327,23948,60,0.8,69.8,0.8,20662,51.8,0.8,60.2,0.8
US,45 to 64,83799,77544,57394,68.5,0.5,74,0.5,51668,61.7,0.5,66.6,0.5
US,65+,48684,46993,36667,75.3,0.6,78,0.6,33314,68.4,0.6,70.9,0.6
ALABAMA,Total,3717,3651,2526,68,2.5,69.2,2.5,2095,56.4,2.7,57.4,2.7
ALABAMA,18 to 24,513,497,283,55.2,7.2,57,7.3,212,41.4,7.1,42.7,7.3
ALABAMA,25 to 34,583,568,393,67.5,6.3,69.2,6.3,310,53.1,6.8,54.5,6.8
ALABAMA,35 to 44,566,548,363,64.1,6.6,66.3,6.6,306,54,6.8,55.8,6.9
ALABAMA,45 to 64,1293,1280,881,68.1,4.2,68.8,4.2,761,58.8,4.5,59.4,4.5
ALABAMA,65+,761,758,606,79.5,4.8,79.9,4.8,507,66.5,5.6,66.9,5.6
ALASKA,Total,518,502,358,69.1,2.6,71.3,2.6,308,59.4,2.8,61.3,2.8
ALASKA,18 to 24,65,65,32,NA,NA,NA,NA,26,NA,NA,NA,NA
ALASKA,25 to 34,113,109,71,62.6,5.9,64.8,6,58,51,6.1,52.7,6.2
ALASKA,35 to 44,83,79,58,NA,NA,NA,NA,48,NA,NA,NA,NA
ALASKA,45 to 64,180,174,138,77,4.1,79.6,4,122,67.9,4.5,70.2,4.5
ALASKA,65+,77,75,59,NA,NA,NA,NA,54,NA,NA,NA,NA
ARIZONA,Total,5196,4585,3145,60.5,2.2,68.6,2.3,2769,53.3,2.3,60.4,2.4
ARIZONA,18 to 24,735,654,346,47.1,6.1,52.8,6.5,263,35.8,5.9,40.2,6.3
ARIZONA,25 to 34,854,729,460,53.9,5.7,63.1,5.9,377,44.1,5.6,51.7,6.1
ARIZONA,35 to 44,776,663,423,54.5,5.9,63.7,6.2,349,45,5.9,52.6,6.4
