state,age,total_pop,total_citizen_pop,total_registered,pct_total_registered,pct_total_registered_moe,pct_citizen_registered,pct_citizen_registered_moe,total_voted,pct_total_voted,pct_total_voted_moe,pct_citizen_voted,pct_citizen_voted_moe
US,Total,235248,215081,153157,65.1,0.3,71.2,0.3,132948,56.5,0.3,61.8,0.3
US,18 to 24,29878,27535,14766,49.4,0.8,53.6,0.8,11353,38,0.8,41.2,0.8
US,25 to 34,41146,35473,23435,57,0.7,66.1,0.7,18977,46.1,0.7,53.5,0.7
US,35 to 44,39624,34265,24461,61.7,0.7,71.4,0.7,20965,52.9,0.7,61.2,0.7
US,45 to 64,82087,76639,57795,70.4,0.4,75.4,0.4,52013,63.4,0.5,67.9,0.5
US,65+,42514,41169,32699,76.9,0.6,79.4,0.6,29641,69.7,0.6,72,0.6
ALABAMA,Total,3594,3479,2556,71.1,2.2,73.5,2.2,2154,59.9,2.4,61.9,2.4
ALABAMA,18 to 24,439,428,212,48.3,7,49.6,7.1,155,35.3,6.7,36.2,6.9
ALABAMA,25 to 34,576,535,359,62.4,6,67.2,6,271,47,6.1,50.6,6.4
ALABAMA,35 to 44,615,582,410,66.7,5.6,70.6,5.6,330,53.7,5.9,56.8,6.1
ALABAMA,45 to 64,1297,1275,1051,81,3.2,82.4,3.1,939,72.4,3.7,73.7,3.6
ALABAMA,65+,667,660,523,78.5,4.7,79.2,4.7,459,68.8,5.3,69.5,5.3
ALASKA,Total,516,495,361,69.9,2.4,72.8,2.4,289,56,2.6,58.4,2.6
ALASKA,18 to 24,63,61,31,NA,NA,51.1,7.5,20,NA,NA,32.5,7.1
ALASKA,25 to 34,109,103,70,64,5.4,67.7,5.4,46,42.6,5.6,45,5.8
ALASKA,35 to 44,86,80,60,70.2,5.8,75.4,5.7,50,58.6,6.3,62.9,6.4
ALASKA,45 to 64,186,182,144,77.6,3.6,79.3,3.6,122,65.7,4.1,67.1,4.1
ALASKA,65+,72,69,55,NA,NA,80,5.7,51,NA,NA,73.2,6.3
ARIZONA,Total,4863,4314,2812,57.8,2.1,65.2,2.2,2412,49.6,2.2,55.9,2.3
ARIZONA,18 to 24,586,545,301,51.4,6.2,55.3,6.4,234,40,6.1,43,6.4
ARIZONA,25 to 34,859,709,399,46.5,5.1,56.3,5.6,289,33.7,4.8,40.8,5.5
ARIZONA,35 to 44,870,713,437,50.2,5.1,61.3,5.5,382,43.9,5,53.6,5.6
ARIZONA,45 to 64,1656,1502,1015,61.3,3.6,67.6,3.6,901,54.4,3.7,60,3.8
ARIZONA,65+,892,846,659,73.9,4.4,78,4.3,606,67.9,4.7,71.7,4.7
ARKANSAS,Total,2198,2109,1376,62.6,2.4,65.3,2.4,1124,51.1,2.5,53.3,2.6
ARKANSAS,18 to 24,288,281,126,43.8,6.9,44.8,7,70,24.3,6,24.8,6.1
ARKANSAS,25 to 34,362,336,194,53.7,6.2,57.8,6.4,140,38.6,6,41.6,6.3
ARKANSAS,35 to 44,357,341,234,65.6,5.9,68.7,5.9,205,57.5,6.2,60.3,6.2
ARKANSAS,45 to 64,742,704,498,67.1,4.1,70.8,4,442,59.6,4.2,62.8,4.3
ARKANSAS,65+,449,448,324,72.1,5,72.3,5,267,59.4,5.5,59.6,5.5
CALIFORNIA,Total,28357,23419,15356,54.2,0.9,65.6,0.9,13462,47.5,0.9,57.5,1
CALIFORNIA,18 to 24,3962,3479,1787,45.1,2.4,51.4,2.6,1447,36.5,2.3,41.6,2.5
CALIFORNIA,25 to 34,5357,4153,2548,47.6,2.1,61.3,2.3,2070,38.6,2,49.8,2.3
CALIFORNIA,35 to 44,5030,3675,2478,49.3,2.1,67.4,2.3,2118,42.1,2.1,57.6,2.5
CALIFORNIA,45 to 64,9356,7827,5459,58.3,1.5,69.7,1.6,4926,52.6,1.6,62.9,1.6
CALIFORNIA,65+,4653,4284,3084,66.3,2.1,72,2.1,2902,62.4,2.1,67.7,2.2
COLORADO,Total,3817,3544,2635,69,2.3,74.4,2.2,2495,65.4,2.3,70.4,2.3
COLORADO,18 to 24,493,461,278,56.5,6.7,60.3,6.9,259,52.5,6.8,56.1,7
COLORADO,25 to 34,693,602,411,59.2,5.6,68.2,5.7,363,52.4,5.7,60.3,6
COLORADO,35 to 44,684,616,484,70.9,5.2,78.6,5,452,66.2,5.5,73.4,5.4
COLORADO,45 to 64,1354,1287,1025,75.7,3.5,79.7,3.4,989,73,3.6,76.9,3.5
COLORADO,65+,593,577,437,73.6,5.5,75.7,5.4,432,72.8,5.5,74.8,5.4
CONNECTICUT,Total,2726,2499,1760,64.6,2.5,70.4,2.5,1568,57.5,2.5,62.7,2.6
CONNECTICUT,18 to 24,333,308,145,43.6,7.3,47.1,7.6,123,36.9,7.1,39.8,7.5
CONNECTICUT,25 to 34,402,331,210,52.1,6.7,63.4,7.1,177,44,6.7,53.5,7.4
CONNECTICUT,35 to 44,441,382,255,57.8,6.3,66.8,6.5,223,50.5,6.4,58.3,6.8
CONNECTICUT,45 to 64,1047,993,768,73.3,3.7,77.4,3.6,695,66.3,3.9,70,3.9
CONNECTICUT,65+,503,486,383,76.2,5.1,78.9,5,351,69.7,5.5,72.2,5.5
DELAWARE,Total,693,641,470,67.8,2.4,73.3,2.4,431,62.2,2.5,67.3,2.5
DELAWARE,18 to 24,82,77,38,46.1,7.4,49.4,7.7,33,40.5,7.3,43.4,7.7
DELAWARE,25 to 34,106,86,54,51.1,6.6,63.3,7,49,46.3,6.5,57.4,7.2
DELAWARE,35 to 44,119,102,77,64.6,5.9,75.8,5.7,67,56.6,6.1,66.4,6.3
DELAWARE,45 to 64,240,232,182,75.9,3.7,78.6,3.6,168,69.9,4,72.3,4
DELAWARE,65+,146,145,118,81.3,4.4,81.6,4.3,113,77.9,4.6,78.1,4.6
DISTRICT OF COLUMBIA,Total,517,461,385,74.4,2.3,83.4,2.1,350,67.7,2.5,75.9,2.4
DISTRICT OF COLUMBIA,18 to 24,71,61,43,NA,NA,70.3,7.1,38,NA,NA,61.4,7.5
DISTRICT OF COLUMBIA,25 to 34,154,133,114,74,4.3,85.3,3.7,102,66,4.6,76.2,4.5
DISTRICT OF COLUMBIA,35 to 44,79,67,59,74.5,5.9,88.1,4.8,55,69.4,6.3,81.9,5.7
DISTRICT OF COLUMBIA,45 to 64,140,129,109,77.7,4.3,84.4,3.9,99,70.9,4.6,77,4.5
DISTRICT OF COLUMBIA,65+,73,71,60,NA,NA,84.7,5.2,57,NA,NA,80.2,5.7
FLORIDA,Total,15034,13326,9102,60.5,1.2,68.3,1.2,8107,53.9,1.2,60.8,1.3
FLORIDA,18 to 24,1669,1467,751,45,3.6,51.2,3.9,614,36.8,3.5,41.9,3.8
FLORIDA,25 to 34,2259,1903,1158,51.3,3.1,60.9,3.3,987,43.7,3.1,51.9,3.4
FLORIDA,35 to 44,2456,1960,1335,54.3,3,68.1,3.1,1177,47.9,3,60.1,3.3
FLORIDA,45 to 64,5345,4814,3474,65,1.9,72.2,1.9,3107,58.1,2,64.5,2
FLORIDA,65+,3304,3182,2384,72.2,2.3,74.9,2.3,2222,67.2,2.4,69.8,2.4
GEORGIA,Total,7179,6738,4767,66.4,1.7,70.7,1.7,4168,58.1,1.7,61.9,1.8
GEORGIA,18 to 24,920,867,469,51,4.9,54.1,5,349,37.9,4.8,40.2,5
GEORGIA,25 to 34,1308,1148,847,64.8,3.9,73.8,3.9,700,53.5,4.1,61,4.3
GEORGIA,35 to 44,1341,1228,825,61.5,4,67.2,4,726,54.1,4.1,59.1,4.2
GEORGIA,45 to 64,2658,2547,1886,70.9,2.6,74,2.6,1741,65.5,2.7,68.4,2.7
