fips,pop_2015
13289,8317
13291,22010
13293,26240
13295,68499
13297,88393
13299,35427
13301,5379
13303,20740
13305,29441
13307,2632
13309,7898
13311,28397
13313,104029
13315,8899
13317,9918
13319,9082
13321,20701
15001,196740
15003,993716
15005,88
15007,71387
15009,164389
16001,432768
16003,3889
16005,83992
16007,5876
16009,8988
16011,45026
16013,21507
16015,6960
16017,41565
16019,109804
16021,11264
16023,2565
16025,1071
16027,206621
16029,6753
16031,23460
16033,874
16035,8486
16037,4063
16039,25790
16041,12970
16043,12792
16045,16682
16047,15157
16049,16262
16051,27095
16053,22870
16055,149414
16057,38661
16059,7734
16061,3780
16063,5283
16065,37877
16067,20372
16069,39976
16071,4250
16073,11279
16075,22784
16077,7649
16079,12433
16081,10671
16083,82059
16085,10043
16087,9909
17001,67014
17003,6759
17005,16929
17007,53584
17009,6800
17011,33468
17013,4862
17015,14645
17017,12845
17019,208354
17021,33470
17023,15865
17025,13395
17027,37654
17029,52570
17031,5245831
17033,19257
17035,10872
17037,104407
17039,16187
17041,19852
17043,933115
17045,17554
17047,6508
17049,34196
17051,22049
17053,13522
17055,39397
17057,35721
17059,5221
17061,13336
17063,50345
17065,8246
17067,18217
17069,4156
17071,6994
17073,49645
17075,28534
17077,59289
17079,9633
17081,38300
17083,22193
17085,22064
17087,12876
17089,529995
17091,110756
17093,122892
17095,51313
17097,704945
17099,111077
17101,16495
17103,34544
17105,36668
17107,29412
17109,31670
17111,307960
17113,172718
17115,107419
17117,45846
17119,265994
17121,38341
17123,11918
17125,13859
17127,14565
17129,12356
17131,15747
17133,33724
17135,29230
17137,34542
17139,14733
17141,51598
17143,186520
17145,21422
17147,16352
17149,15918
17151,4353
17153,5656
17155,5727
17157,32822
17159,15967
17161,146249
17163,264217
17165,24498
17167,198634
17169,7160
17171,5109
17173,21829
17175,5506
17177,45670
17179,134393
17181,17283
17183,79187
17185,11599
17187,17370
17189,14258
17191,16526
17193,14202
17195,56945
17197,686920
17199,67607
17201,287141
17203,38963
18001,34954
18003,367630
18005,81286
18007,8692
18009,12224
18011,63037
18013,14994
18015,19889
18017,38168
18019,114927
18021,26389
18023,32411
18025,10555
18027,32818
18029,49452
18031,26380
18033,42452
18035,115811
18037,42327
18039,203401
18041,23391
18043,76519
18045,16537
18047,22913
18049,20329
18051,33622
18053,67519
18055,32399
18057,308774
18059,72398
18061,39521
18063,157709
18065,48664
18067,82314
18069,36518
18071,43902
18073,33481
18075,21141
18077,32313
18079,27822
18081,148935
18083,37759
18085,78794
18087,38638
18089,488316
18091,110825
18093,45577
18095,129390
18097,940235
18099,46761
18101,10215
18103,36012
18105,144225
18107,38298
18109,69551
18111,13984
18113,47543
18115,5882
18117,19622
18119,20831
18121,16978
18123,19303
18125,12458
18127,167430
18129,25609
18131,12800
18133,37500
18135,25111
18137,28388
18139,16709
18141,268356
18143,23658
18145,44349
18147,20641
18149,22855
18151,34514
18153,20878
18155,10614
18157,186076
18159,15235
18161,7200
18163,181917
18165,15594
18167,107473
18169,31870
18171,8271
18173,61548
18175,27777
18177,66949
18179,27835
18181,24280
18183,33444
19001,7141
19003,3753
19005,13852
19007,12570
19009,5712
19011,25611
19013,133435
19015,26439
19017,24761
19019,21109
19021,20302
19023,14880
19025,9790
19027,20420
19029,13349
19031,18300
19033,42923
19035,11485
19037,12123
19039,9227
19041,16508
19043,17715
19045,47545
19047,17031
19049,80491
19051,8777
19053,8123
19055,17371
19057,39870
19059,16990
19061,96813
19063,9672
19065,20139
19067,15895
19069,10326
19071,6913
19073,8951
19075,12406
19077,10644
19079,15232
19081,11023
19083,17252
19085,14144
19087,19823
19089,9315
19091,9544
19093,6962
19095,16275
19097,19357
19099,36729
19101,17927
19103,144527
19105,20402
19107,10168
19109,15153
19111,34895
19113,219971
19115,11256
19117,8599
19119,11748
19121,15713
19123,22308
19125,33109
19127,40346
19129,14882
19131,10671
19133,8863
19135,7925
19137,10149
19139,42964
19141,13919
19143,6159
19145,15447
19147,9138
19149,24898
19151,6962
19153,467252
19155,93532
19157,18381
19159,4974
19161,9966
19163,171724
19165,11794
19167,34687
19169,96348
19171,17204
19173,6263
19175,12425
19177,7297
19179,35433
19181,48466
19183,22128
19185,6355
19187,37015
19189,10578
19191,20732
19193,102455
19195,7507
19197,12840
20001,12657
20003,7817
20005,16414
20007,4828
20009,27163
20011,14736
20013,9704
20015,66250
20017,2654
20019,3389
20021,20517
20023,2673
20025,2081
20027,8294
20029,9185
20031,8293
20033,1825
20035,35690
20037,39032
20039,2925
20041,19203
20043,7786
20045,117866
20047,2950
20049,2571
20051,28929
20053,6305
20055,37191
20057,34578
20059,25461
20061,36682
20063,2703
20065,2592
20067,7727
20069,6050
20071,1299
20073,6233
20075,2561
20077,5783
20079,34783
20081,4092
20083,1866
20085,13284
20087,18814
20089,2966
20091,578920
20093,3934
20095,7628
20097,2566
20099,20632
20101,1630
20103,79010
20105,3142
20107,9580
20109,2781
20111,33119
20113,28615
20115,12044
20117,9839
20119,4293
20121,32751
20123,6286
20125,33384
20127,5624
20129,2952
20131,10081
20133,16262
20135,3010
20137,5539
20139,15859
20141,3642
20143,5934
20145,6771
20147,5415
20149,23121
20151,9685
20153,2504
20155,63488
20157,4681
20159,9925
20161,76659
20163,5180
20165,3099
20167,7045
20169,55491
20171,4989
20173,510715
20175,23174
20177,178515
20179,2475
20181,5960
20183,3690
20185,4220
20187,2066
20189,5786
20191,23406
20193,7875
20195,2906
20197,6873
20199,1506
20201,5569
20203,2160
20205,8852
20207,3145
20209,163384
21001,19298
21003,20662
21005,21865
21007,8217
21009,43549
21011,12194
21013,27379
21015,127793
21017,20093
21019,48507
21021,29714
21023,8278
21025,13361
21027,19971
21029,78707
21031,12723
21033,12747
21035,38642
21037,91906
21039,4860
21041,10654
21043,27436
21045,15737
21047,73095
21049,35666
21051,20990
21053,10177
21055,9170
21057,6748
21059,99364
21061,11986
21063,7548
21065,14370
21067,315055
21069,14588
21071,37529
21073,50008
21075,6269
21077,8591
21079,17219
21081,24734
21083,37165
21085,26130
21087,10970
21089,35982
21091,8645
21093,106224
21095,27507
21097,18636
21099,18404
21101,46365
21103,15566
21105,4608
21107,46067
21109,13330
21111,764341
21113,51788
21115,23137
21117,164084
21119,15657
21121,31404
21123,14122
21125,59870
21127,15862
21129,6740
21131,10646
21133,23055
21135,13586
21137,24360
21139,9295
21141,26737
21143,8310
21145,64976
21147,17868
21149,9399
21151,88156
21153,12779
21155,19191
21157,31045
21159,12297
21161,17036
21163,27749
21165,6367
21167,21370
21169,9908
21171,10617
21173,27569
21175,13262
21177,31248
21179,45103
21181,7058
21183,24027
21185,64496
21187,10724
21189,4447
21191,14475
21193,27357
21195,61803
21197,12236
21199,63827
21201,2135
