from_fips,to_fips,mi_to_county
01001,01051,29.5175849409829
01001,01101,34.4934427264388
01001,01021,22.4629943022086
01001,01073,71.7723035225608
01001,01117,50.2379456016557
01001,01081,75.3418424828951
01003,01097,26.8293634811526
01003,12033,24.4196707914188
01003,01073,206.057237551703
01003,01053,46.8434524375758
01003,01117,190.477083737274
01003,12113,43.5934040944774
01003,01125,182.253378556797
01003,48453,592.889501764598
01003,01089,292.005414404105
01003,12091,68.4605941768516
01003,01081,194.603382321255
01003,48201,459.631548045967
01003,13121,288.927373918268
01003,12005,129.284815233546
01003,28059,53.8133402709735
01003,01101,140.188063428645
01003,28047,81.3294854863546
01003,47037,384.706463196678
01003,01099,67.1632889993598
01005,01045,32.6846514865081
01005,01069,49.6447778256363
01005,01067,26.3030871615297
01005,13239,23.2540402214032
01007,01125,29.7182919927348
01007,01073,39.4573610483597
01007,01117,31.084953431962
01009,01073,34.870900981190204
01009,01043,20.3179999953674
01009,01095,26.9030262263712
01009,01115,23.2889475047344
01009,01055,30.8991955975248
01009,01117,49.7782780557255
01009,01127,44.0079555008206
01011,01101,29.3203891583831
01011,01109,24.7380237775906
01013,01101,41.9587341354781
01013,01085,27.4379821668627
01013,01041,21.3542073020331
01015,01121,34.4496809487352
01015,01055,22.6080658514978
01015,01073,63.578387066453
01015,01115,28.6226992750482
01015,01029,18.9085178365011
01015,01019,22.726115528093
01015,01089,80.2083023068863
01015,01117,60.5371291125
01015,13045,44.6258265184508
01015,48453,736.426000790387
01015,01111,38.7856332016402
01015,01027,34.8903701801332
01015,13067,72.5642365134804
01015,01003,242.660055999077
01015,01095,46.880164345521
01015,12033,235.647911626379
01017,01081,21.8035816103321
01017,13285,22.5528423654088
01017,01111,26.4862504781202
01017,13215,41.1888558833536
01019,01049,28.3637137769966
01019,01055,21.8143894536734
01019,01015,22.726115528093
01019,13115,28.5336380616731
01019,13055,33.0591918160405
01021,01117,28.3900725863567
01021,01073,49.3110235863077
01021,01001,22.4629943022086
01021,01051,38.2982468809862
01021,01007,25.7772456716359
01021,01101,54.2861859421186
01025,01097,72.6773188044946
01025,01129,29.6680843495214
01025,01131,36.9105137445086
01025,01091,38.868804235937
01025,01125,112.204498173018
01025,01003,71.0402805115564
01025,01099,26.6224424445785
01027,01111,23.072872966764
01027,01015,34.8903701801332
01027,01121,19.4243319609385
01027,01123,28.1773903571763
01029,01015,18.9085178365011
01029,13045,25.8152797159047
01029,13143,19.0212730325183
01031,01045,22.4764920417836
01031,01069,44.2471215808825
01031,01061,23.6115923225351
01031,01039,29.241773195851
