gdp,iso3,period,hlthexp,pctf_primary,pctf_secondary,area
669.009050888028,AFG,2012,1688.57949094733,40.7158813476563,34.853630065918,Afghanistan
4247.61430826246,ALB,2012,6974.8650929424,47.228931427002,48.6138610839844,Albania
5565.13452104848,DZA,2012,9507.02584926356,47.5449905395508,51.1218795776367,Algeria
11660.329531052,ASM,2012,NA,NA,NA,American Samoa
38391.0808669785,AND,2012,92837.1237210154,47.0217895507813,48.5449409484863,Andorra
4539.4676892715,AGO,2012,5354.90826882384,NA,NA,Angola
12517.5579290917,ATG,2012,21465.2859365159,48.2158203125,54.0154304504395,Antigua and Barbuda
12969.7071238969,ARG,2012,25555.8856202966,48.8095283508301,51.3109588623047,Argentina
3684.80481032649,ARM,2012,4503.82627951179,46.665699005127,NA,Armenia
67864.6898624672,AUS,2012,191752.142663774,48.5689506530762,49.6809501647949,Australia
48567.69528642,AUT,2012,158327.798356978,48.5653991699219,50.2892112731934,Austria
7496.29464768263,AZE,2012,11988.411595417,46.1563987731934,46.2646713256836,Azerbaijan
28815.527404385,BHS,2012,49169.017177432,NA,NA,Bahamas
23649.3666139101,BHR,2012,28785.8837451367,48.8254318237305,51.9385986328125,Bahrain
856.342857027401,BGD,2012,771.275282109648,NA,52.8779907226563,Bangladesh
16536.2146421152,BRB,2012,31763.8212089227,NA,NA,Barbados
6940.15925359735,BLR,2012,10119.6811087176,48.6795692443848,49.6773109436035,Belarus
44740.5832481477,BEL,2012,139545.394714762,48.7711791992188,50.8920593261719,Belgium
4673.79143513087,BLZ,2012,7710.68638532715,48.7286605834961,50.9281005859375,Belize
837.950500075362,BEN,2012,1071.41948979511,46.8942985534668,NA,Benin
85458.455507886,BMU,2012,NA,48.2922210693359,53.0303001403809,Bermuda
2422.00801577828,BTN,2012,2719.98320706289,49.6956787109375,50.7128601074219,Bhutan
2645.22775260146,BOL,2012,4471.82674374921,48.6333312988281,48.2705001831055,Bolivia (Plurinational State of)
4722.01340306727,BIH,2012,13397.7128489252,48.6310195922852,51.6874389648438,Bosnia and Herzegovina
7029.23145024034,BWA,2012,12322.6019904482,48.9851989746094,51.684440612793,Botswana
12291.4668523291,BRA,2012,30678.5541196755,47.4266510009766,50.8134803771973,Brazil
47651.2590896413,BRN,2012,28582.0315927242,48.3872489929199,48.3287391662598,Brunei Darussalam
7378.02473005713,BGR,2012,15553.3524571626,48.2997283935547,50.8177604675293,Bulgaria
673.822818226635,BFA,2012,1115.72387815791,47.7382316589355,43.847038269043,Burkina Faso
265.285605131269,BDI,2012,611.024399480599,50.3023490905762,43.8280410766602,Burundi
3408.48276238421,CPV,2012,4711.31855622795,47.7048110961914,54.0934104919434,Cabo Verde
951.111231127353,KHM,2012,1773.3235303742,47.7458114624023,47.5757789611816,Cambodia
1380.50984820072,CMR,2012,1687.57470701555,46.3587493896484,47.9794883728027,Cameroon
52496.6948704709,CAN,2012,172005.560368434,48.7984199523926,48.9400901794434,Canada
483.186093239243,CAF,2012,522.569727562241,42.9607009887695,34.1741981506348,Central African Republic
973.470257398779,TCD,2012,887.995282149933,42.8465690612793,31.007869720459,Chad
15431.9029324117,CHL,2012,33190.9466890586,48.2952308654785,50.820499420166,Chile
6337.88332279255,CHN,2012,9762.16144251957,46.1991081237793,47.7098388671875,China
7884.98442882865,COL,2012,16164.8593306689,48.0961990356445,50.9277992248535,Colombia
788.632652955229,COM,2012,1511.97840934498,NA,NA,Comoros
424.859133741434,COD,2012,448.078472567255,46.5725593566895,37.7425003051758,Democratic Republic of the Congo
2952.05234806594,COG,2012,3580.8451848029,51.5010986328125,46.273380279541,Congo
9985.36958970111,CRI,2012,28208.7795122825,48.4777183532715,49.7448997497559,Costa Rica
1262.48021811586,CIV,2012,2445.263563756,45.6874504089355,39.5116310119629,Côte d'Ivoire
13254.7642644276,HRV,2012,29441.6199114575,48.6354713439941,51.5882911682129,Croatia
6425.94111866075,CUB,2012,16817.1026305649,48.1442794799805,52.60546875,Cuba
28984.9148053503,CYP,2012,58738.930335175,48.5867500305176,51.5963401794434,Cyprus
19729.8705111763,CZE,2012,42506.8145516981,48.6375503540039,51.3582382202148,Czechia
58507.5002096272,DNK,2012,186912.904423138,48.6476783752441,50.512149810791,Denmark
1536.15068518041,DJI,2012,4136.94812066401,46.7584686279297,43.0871505737305,Djibouti
6745.84975848093,DMA,2012,11679.6531856942,48.6002006530762,49.2860717773438,Dominica
5973.22293666431,DOM,2012,8405.73876752028,46.6280517578125,51.7819404602051,Dominican Republic
5702.10431276527,ECU,2012,10947.5650904152,49.0332183837891,50.423469543457,Ecuador
3181.44170830415,EGY,2012,4731.54891972117,48.1876983642578,49.8420486450195,Egypt
3437.59963840041,SLV,2012,7756.28052367395,47.7926712036133,48.8619117736816,El Salvador
21557.6527999109,GNQ,2012,27358.7297939008,49.2279586791992,47.1011085510254,Equatorial Guinea
17421.8902227378,EST,2012,31287.1761995894,48.6228790283203,51.8564300537109,Estonia
3864.76043619193,SWZ,2012,7943.93913078329,47.5244483947754,48.8759002685547,Swaziland
468.506724907536,ETH,2012,696.767348858282,47.6208801269531,46.8800888061523,Ethiopia
48421.8030715067,FRO,2012,NA,NA,NA,Faeroe Islands
4546.73850445133,FJI,2012,5451.96013806952,48.429630279541,51.4609107971191,Fiji
47415.5598711351,FIN,2012,126881.550006044,48.6791687011719,51.6929397583008,Finland
40874.715955798,FRA,2012,140565.713148684,48.8279914855957,50.3973083496094,France
9774.19302555079,GAB,2012,11061.5280176843,NA,NA,Gabon
